# instance by G2
# solution = 10001011010110011101100101101111110101101000101101111001010110001001001011101010111101101110001010001110010110111111010010101011101011000101101010011110000101111101000110000001010101101110111101011000
-181 -49 158 
66 155 -104 
-147 -128 130 
-196 155 106 
-166 50 -121 
119 -198 -195 
188 86 72 
167 45 54 
-171 -184 88 
-174 33 -173 
-104 -146 37 
158 -103 -157 
-20 29 22 
-55 72 40 
-157 -48 -112 
-182 -109 50 
-182 -177 165 
162 10 172 
158 -17 179 
176 -61 -16 
-166 -67 -5 
-172 85 83 
21 76 -80 
100 -156 -85 
199 139 -146 
23 13 87 
166 96 -198 
47 -90 -147 
49 125 -14 
-127 -152 -26 
144 141 153 
-109 -5 -195 
167 -82 151 
-179 -145 -90 
159 -14 -158 
134 180 85 
13 -53 66 
-130 -101 54 
-67 51 -147 
184 81 156 
-72 -6 28 
123 59 -51 
-83 -132 75 
53 26 175 
-30 -46 -145 
-165 -145 198 
-100 -6 56 
52 96 -18 
116 -182 -155 
-132 -5 -74 
-107 52 -198 
-59 13 71 
144 114 22 
119 -168 83 
-160 -77 164 
-28 -95 21 
-154 -1 -197 
-62 39 52 
178 82 168 
-37 118 6 
-82 30 -23 
182 -16 -170 
147 -47 183 
-159 75 170 
-71 -47 65 
-170 89 -67 
130 50 -85 
-163 -65 34 
158 -168 -77 
-190 -73 111 
161 78 -144 
-147 116 140 
-160 193 127 
-103 20 121 
-109 185 16 
-36 -32 53 
128 -49 175 
42 -29 -117 
-33 58 -68 
181 -135 -190 
62 74 -6 
152 141 185 
-140 114 -29 
68 -10 89 
18 105 -1 
-46 -94 -11 
-156 -70 -4 
-109 34 -5 
18 -100 145 
-63 -19 -151 
-117 -40 49 
-48 104 102 
99 184 106 
141 184 128 
97 -138 155 
184 158 89 
-108 -95 65 
-191 103 -184 
139 37 160 
-94 -17 30 
53 127 -22 
46 -145 183 
-127 190 33 
116 -159 -34 
-193 -149 199 
191 -94 -106 
162 35 194 
-28 -72 -20 
160 122 -31 
-6 134 -67 
-62 37 -67 
-97 -38 13 
-8 -74 -100 
51 72 161 
-124 -21 -109 
141 31 167 
131 -110 41 
116 41 74 
54 155 48 
-169 58 155 
140 65 54 
-44 47 -16 
-25 -32 -44 
-36 -179 196 
-89 107 -62 
169 91 181 
-87 154 -200 
126 133 131 
-43 -193 -59 
-62 8 -83 
179 129 -135 
140 -73 11 
-139 114 98 
-130 77 -115 
-74 -142 138 
-100 -191 -145 
-15 -156 -127 
-191 -89 -104 
-179 -82 -1 
187 132 -198 
196 140 46 
149 -159 -116 
-83 190 166 
129 -67 96 
-80 -160 89 
161 -120 57 
-170 49 -144 
-91 151 -79 
167 8 140 
-132 -194 -106 
134 -77 60 
196 106 -172 
-61 -177 -189 
-30 -165 -111 
20 -128 179 
6 -85 -191 
76 196 -119 
177 -63 193 
-178 -16 102 
113 -106 54 
-165 -2 -148 
-1 141 -128 
133 -144 59 
-47 -111 113 
67 192 187 
-196 -9 195 
-52 152 97 
186 -117 163 
157 143 -11 
81 69 135 
-170 17 73 
62 -74 32 
12 -178 -139 
-182 -23 19 
-140 26 -107 
98 75 -146 
-70 72 145 
9 -38 -28 
-106 116 150 
-155 165 49 
-167 -190 -155 
165 -144 84 
41 84 87 
-119 -144 58 
-68 106 63 
-52 -112 -154 
183 166 78 
164 -143 5 
153 -198 -197 
65 -107 -60 
85 123 -70 
1 185 165 
98 15 -188 
-2 170 -103 
13 -141 -149 
168 72 169 
168 -49 -127 
-154 93 17 
-60 67 -179 
108 145 159 
-123 190 168 
137 113 -75 
87 -108 -195 
-10 -28 70 
45 -143 -197 
-170 39 49 
116 -181 157 
122 -139 -71 
-165 182 195 
72 145 175 
142 -90 -126 
48 -15 -182 
99 -98 131 
-200 7 82 
-14 -117 196 
-75 103 69 
43 185 -100 
144 -111 -170 
80 -111 51 
87 -33 148 
36 108 7 
-184 146 145 
-171 174 149 
-195 -153 -177 
-31 71 123 
63 -145 74 
89 150 -148 
70 -94 52 
-144 -29 178 
66 -67 -54 
-44 -49 127 
18 -175 32 
-162 72 -25 
119 66 -69 
154 -95 16 
-188 175 176 
-52 159 27 
-150 50 -22 
195 84 25 
109 81 88 
68 -36 161 
-65 -72 53 
113 -116 122 
-181 137 109 
96 -197 140 
102 112 -70 
-189 -118 89 
-86 -39 65 
71 152 89 
-116 140 -33 
-185 -132 7 
-165 48 -62 
-46 -177 36 
167 99 125 
144 -139 14 
-109 -100 -127 
-175 -141 81 
-169 71 -84 
-112 188 -6 
-123 112 -136 
107 180 -189 
-83 92 176 
-75 138 63 
115 162 -106 
50 193 153 
181 -194 169 
-174 184 -2 
-188 -193 -26 
-90 124 151 
-134 -143 -163 
96 194 186 
-53 95 174 
21 50 12 
15 168 -188 
-42 158 -188 
-165 133 191 
-36 8 -21 
145 180 -22 
-155 58 197 
122 -42 6 
-110 24 -73 
28 73 -24 
-3 -87 -9 
-158 5 -161 
-197 68 -53 
35 151 8 
116 -22 -163 
-63 107 162 
165 53 145 
29 -46 -177 
140 -146 -139 
-102 103 -75 
172 -43 40 
-39 -193 -19 
58 130 62 
49 131 95 
148 -44 -129 
-104 107 7 
20 150 -173 
87 -13 105 
-27 5 -49 
-68 142 183 
-28 -166 -81 
103 121 -25 
108 160 -76 
189 -39 -92 
-140 142 133 
-151 96 164 
-94 41 28 
-160 -59 20 
-95 140 -178 
-96 56 -55 
80 -199 -138 
-177 -156 78 
-158 49 -55 
-45 153 -120 
168 -90 -133 
-154 136 -184 
-14 -190 103 
-111 -198 -45 
97 -70 -177 
-156 -141 -188 
-62 -46 -45 
-25 70 -152 
-196 84 -85 
-173 104 186 
-90 -100 -156 
-1 -152 -101 
180 92 59 
129 -149 61 
39 8 177 
-98 33 -117 
3 -14 -137 
-113 47 180 
104 -89 116 
97 -146 -105 
-142 -44 -139 
-39 139 -199 
-67 -63 31 
90 132 -163 
78 -40 -189 
139 -2 -156 
107 182 -19 
-79 193 189 
124 -46 -147 
-94 134 188 
-130 61 140 
140 -179 31 
38 -147 16 
-77 -140 150 
-119 1 49 
-31 183 120 
144 6 74 
-196 -121 -4 
135 -116 -124 
11 -180 161 
-60 -41 121 
156 -70 -84 
137 123 69 
-150 58 -23 
200 -48 -4 
86 53 123 
-182 -1 -135 
13 -199 -115 
31 -186 -20 
87 156 -121 
26 46 -36 
93 -66 32 
-74 -142 125 
